image,catalogue_id,proposed_name,brand,category,subcategory,pack_size,price_bzd_seen_on_shelf,price_status,pharmacist_review,prescription_only,name_needs_confirming,ocr_suggested_name,extra_views,CONFIRM_name,CONFIRM_brand,CONFIRM_price,CONFIRM_in_stock,CONFIRM_prescription,CONFIRM_publish_image,notes
cosmic-product-001,cp-001,Maximum Strength Scar Cream,,skin-hair-beauty,Scar care,1 oz (28.3 g),5,demo-only,,,,Scar Cream,,,,,,,,
cosmic-product-002,cp-002,Sinus Headache PE Maximum Strength,HealthA2Z,otc-medicine,"Cold, flu and sinus",18 caplets,7.5,demo-only,,,,inus Headache PE,,,,,,,,
cosmic-product-003,cp-003,Beet Root with Tart Cherry Extract,YumVs,vitamins-supplements,Herbal supplements,,20,demo-only,,,,BEET,cosmic-product-219,,,,,,,
cosmic-product-004,cp-004,Animalin C Soy Protein and Vitamin C,Animalin,vitamins-supplements,Children's supplements,,3,demo-only,,,,m Animalin C ',cosmic-product-005,,,,,,,
cosmic-product-006,cp-005,Ultra Man 50 Plus Daily Multivitamin,Puritan's Pride,vitamins-supplements,Multivitamins,60 coated caplets,15,demo-only,,,,AM DAILY MUL Arg,cosmic-product-182 cosmic-product-270,,,,,,,
cosmic-product-007,cp-006,Flaxseed Oil 1200 mg,Nature's Bounty,vitamins-supplements,Omega and fish oils,1200 mg softgels,20,demo-only,,,,) Flaxseed Oil,,,,,,,,
cosmic-product-008,cp-007,Centrum Women Multivitamin,Centrum,vitamins-supplements,Multivitamins,30 tablets,20,demo-only,,,,WOMEN,,,,,,,,
cosmic-product-009,cp-008,Histal Cough and Bronchial Syrup,Histal,otc-medicine,Cough and cold,120 mL,5,demo-only,yes,,,OT ho,,,,,,,,
cosmic-product-010,cp-009,Hioscina Oral Solution 6.67 mg/mL,Espafarm,otc-medicine,Digestive and antispasmodic,,8,demo-only,yes,,,ole,cosmic-product-071,,,,,,,
cosmic-product-013,cp-010,Boric Acid Vaginal Suppositories,pH-D Feminine Health,womens-wellness,Intimate care,,,confirm-price,yes,,,Wegnghic Acid,,,,,,,,
cosmic-product-014,cp-011,"Panty Liners Long, Daily Use",Kotex,womens-wellness,Period care,,,confirm-price,,,,"breathability, and all-day",,,,,,,,
cosmic-product-015,cp-012,Liquid Chlorophyll 100 mg,Piping Rock,vitamins-supplements,Herbal supplements,,,confirm-price,,,,refreshed every day. jaa ®,,,,,,,,
cosmic-product-016,cp-013,Lip Therapy Balm Sticks,Vaseline,skin-hair-beauty,Lip care,,,confirm-price,,,,G ' aoe,,,,,,,,
cosmic-product-017,cp-014,Activated Charcoal Peel-Off Mask,CQK,skin-hair-beauty,Face masks,,,confirm-price,,,,MASK & ke,,,,,,,,
cosmic-product-018,cp-015,Facial Mist Spray,,skin-hair-beauty,Face care,,,confirm-price,,,yes,MA h,,,,,,,,
cosmic-product-019,cp-016,Classic Lip Balm Medicated,Carmex,skin-hair-beauty,Lip care,0.35 oz (10 g),,confirm-price,,,,protects,,,,,,,,
cosmic-product-020,cp-017,Tangle Free Detangling Hair Brush,Cala,skin-hair-beauty,Hair tools,,,confirm-price,,,,gq a re,,,,,,,,
cosmic-product-021,cp-018,Menstrual Cramp Heat Patch,Lady Femm,womens-wellness,Period care,,,confirm-price,,,,SBABOETEROCO koi aM,,,,,,,,
cosmic-product-022,cp-019,Organic Castor Oil,Handcraft Blends,skin-hair-beauty,Hair and body oils,,,confirm-price,,,,H Wixoc,,,,,,,,
cosmic-product-023,cp-020,"Weekly Pill Organiser, AM and PM",Self Aid,mobility-daily-living,Medication management,,,confirm-price,,,,eee,,,,,,,,
cosmic-product-024,cp-021,"Contact Lens Cases, 5 Pack",Care US,eye-ear-care,Contact lens care,5 count,,confirm-price,,,,a 2 Tra WW Vv,,,,,,,,
cosmic-product-025,cp-022,TRUEdraw Lancing Device,TRUEdraw,diabetes-monitoring,Lancing devices,,,confirm-price,,,,TRUE Gray. i,,,,,,,,
cosmic-product-026,cp-023,Adjustable Walking Cane,,mobility-daily-living,Walking aids,,,confirm-price,,,,r fm mobility ) Pa,,,,,,,,
cosmic-product-027,cp-024,ReNu Advanced Multi-Purpose Contact Lens Solution,Bausch + Lomb,eye-ear-care,Contact lens care,,,confirm-price,,,,GENTLE ON THE EVES,,,,,,,,
cosmic-product-028,cp-025,Ultra Absorbent Disposable Breast Pads,Philips Avent,mother-baby,Breastfeeding,100 count,,confirm-price,,,,PHILIPS iiss 100x,,,,,,,,
cosmic-product-029,cp-026,Soft Foam Earplugs,Quality Choice,eye-ear-care,Ear care,,,confirm-price,,,,from unwanted noise. Soft,,,,,,,,
cosmic-product-030,cp-027,Digital Clinical Thermometer,SensiMedical,first-aid,Thermometers,,,confirm-price,,,,) Termometro,cosmic-product-079,,,,,,,
cosmic-product-031,cp-028,Contoured Eye Patch,Quality Choice,eye-ear-care,Eye care,,,confirm-price,,,,Eye Patch,,,,,,,,
cosmic-product-032,cp-029,Seven Day Travel Pill Organiser,Self Aid,mobility-daily-living,Medication management,,,confirm-price,,,,ae O'ganizced SS,,,,,,,,
cosmic-product-033,cp-030,Comfort Plus Insoles,Quality Choice,mobility-daily-living,Foot care,One size fits most,,confirm-price,,,,Hus,,,,,,,,
cosmic-product-034,cp-031,Pill Cutter with Storage Compartment,Protek Health,mobility-daily-living,Medication management,,,confirm-price,,,,medication stored securely,,,,,,,,
cosmic-product-035,cp-032,EasyTouch Glucose Test Strips,EasyTouch,diabetes-monitoring,Test strips,50 test strips,,confirm-price,,,,Glucose Test Strip a,,,,,,,,
cosmic-product-036,cp-033,EasyTouch HealthPro Glucose Monitoring System,EasyTouch,diabetes-monitoring,Glucose meters,,,confirm-price,,,,aad E,,,,,,,,
cosmic-product-037,cp-034,Elasticated Wrist Support,Protek,mobility-daily-living,Braces and supports,Size S,,confirm-price,,,,c- - arthritis. f F,,,,,,,,
cosmic-product-038,cp-035,Air-Activated Heat Wrap,Quality Choice,first-aid,Heat and cold therapy,,,confirm-price,,,,muscle tension and everyday,cosmic-product-063,,,,,,,
cosmic-product-039,cp-036,Elasticated Ankle Support,Fitzroy,mobility-daily-living,Braces and supports,,,confirm-price,,,,compression and stability for,,,,,,,,
cosmic-product-040,cp-037,Elbow Brace,Vive,mobility-daily-living,Braces and supports,One size,,confirm-price,,,,providing gentle compression,,,,,,,,
cosmic-product-041,cp-038,CPC-Diclogel Extra Plus Analgesic Gel,CPC,otc-medicine,Pain relief,58 g,,confirm-price,yes,,,"sore relieve arthritis, muscle",,,,,,,,
cosmic-product-042,cp-039,Volfenac Gel,Volfenac,otc-medicine,Pain relief,,,confirm-price,yes,,,"® pain, sprains, and strains",,,,,,,,
cosmic-product-043,cp-040,Arm Sling Support,,mobility-daily-living,Braces and supports,,,confirm-price,,,,had HTJAIH,,,,,,,,
cosmic-product-044,cp-041,Elasticated Knee Support,Protek,mobility-daily-living,Braces and supports,Size M,,confirm-price,,,,) ae eS 2 Bend,,,,,,,,
