sku,name,category,image,source_page,source_image
SUP-001,Nature's Bounty Zinc 50 mg 100 tablets,Supplements,sup-001-nature-s-bounty-zinc.jpg,https://www.walmart.com/ip/Nature-s-Bounty-Zinc-Immune-Support-Dietary-Supplement-50-mg-100-Caplets/46008414,https://i5.walmartimages.com/seo/Nature-s-Bounty-Zinc-Immune-Support-Dietary-Supplement-50-mg-100-Caplets_ae10d9f3-a758-410e-8e29-5eb44f31fa40.e9508b4b7f1e42ad9d9116462bec3a47.jpeg
SUP-002,Sundance High Potency Selenium 200 mcg 60 tablets,Supplements,sup-002-sundance-high-potency-selenium.jpg,https://www.walmart.com/ip/Sundance-Selenium-Tablets-200-mcg-60-Count/668053434,https://i5.walmartimages.com/seo/Sundance-Selenium-Tablets-200-mcg-60-Count_51e0854b-685c-4966-8ac6-db7113611f6f.04eac2d71ebb8bf4bc0ea796085838c1.jpeg
SUP-003,Puritan's Pride Potassium Citrate 99 mg 100 tablets,Supplements,sup-003-puritan-s-pride-potassium-citrate.jpg,https://www.americanwellbeauty.com/product/puritan-s-pride-potassium-citrate-99-mg-100-tablets/,https://www.americanwellbeauty.com/wp-content/uploads/2025/07/6906474823780_462.webp
SUP-004,Puritan's Pride Papaya Enzyme 250 tablets,Supplements,sup-004-puritan-s-pride-papaya-enzyme.jpg,https://www.puritan.com/papaya-enzymes-129/papaya-enzyme-001133,https://www.puritan.com/VF/puritanspride/product_images/product_detail/001133.jpg
SUP-005,Puritan's Pride Yeast Free Chromium Picolinate 500 mcg 100 tablets,Supplements,sup-005-puritan-s-pride-yeast-free-chromium-picolinate.jpg,https://britishvita.co.uk/products/puritans-pride-chromium-picolinate-500-mcg-yeast-free-100-count-discontinued-by-manufacturer,https://britishvita.co.uk/cdn/shop/files/puritans-pride-chromium-picolinate-500-mcg-yeast-free-100-count-1_jpg.jpg?v=1763677966
SUP-006,Nature's Truth Alpha Lipoic Acid 600 mg 60 capsules,Supplements,sup-006-nature-s-truth-alpha-lipoic-acid.jpg,https://portalpharmacy.ke/nature-s-truth-alpha-lipoic-acid-600mg-60-capsules,https://portalpharmacy.ke/image/cache/catalog/Nature-s-Truth-Alpha-Lipoic-Acid-600mg-60-Capsules-550x550.jpg
SUP-007,ALFA Vitamins Moringa Plus B6 1000 mg 100 capsules,Supplements,sup-007-alfa-vitamins-moringa-plus-b6.jpg,https://www.farmaciaschavez.com.bo/p/alfa-vitamins-moringa-1000-mg-x-100-capsulas-18160,https://pedidosonline.farmaciaschavez.com.bo:8443/catalogofchavez/18160/MORINGA1000MGX100CAPS-676194964420_18160.jpg
SUP-008,Webber Naturals Magnesium Citrate High Absorption 150 mg 120 capsules,Supplements,sup-008-webber-naturals-magnesium-citrate-high-absorption.jpg,https://store.whitecrossdispensary.com/products/webber-naturals-magnesium-citrate-150-mg-high-absorption-120-capsules,https://store.whitecrossdispensary.com/cdn/shop/files/50000-webber.png?v=1778775716
SUP-009,Rugby Calcium 600 mg 60 tablets,Supplements,sup-009-rugby-calcium.jpg,https://canadianvit.com/products/rugby-calcium-600-mg-with-vitamin-d3-200-iu-gluten-free-60-count,https://canadianvit.com/cdn/shop/files/rugby-calcium-600mg-vitamin-d3-200iu-gluten-free-60-count-01_jpg.jpg?v=1761981032
SUP-010,Nature's Truth Premium Coconut Activated Charcoal 780 mg 150 capsules,Supplements,sup-010-nature-s-truth-premium-coconut-activated-charcoal.jpg,https://www.amazon.com/Activated-Charcoal-Capsules-Natures-Truth/dp/B07X27KXP8,https://m.media-amazon.com/images/I/71T14+uLqvL._AC_SL1500_.jpg
SUP-011,Nature's Truth Virgin Cold Pressed Black Cumin Seed Oil 2000 mg 50 softgels,Supplements,sup-011-nature-s-truth-virgin-cold-pressed-black-cumin-seed-oil.jpg,https://www.walmart.com/ip/Black-Cumin-Seed-Oil-2000-mg-50-Softgel-Capsules-Cold-Pressed-Pills-Non-GMO-Gluten-Free-by-Nature-s-Truth/988388572,https://i5.walmartimages.com/seo/Black-Cumin-Seed-Oil-2000-mg-50-Softgel-Capsules-Cold-Pressed-Pills-Non-GMO-Gluten-Free-by-Nature-s-Truth_dee5dfc8-dcb8-49e2-aa31-23328dee6f46.5263972b3b63c48c3525f61137688b6f.jpeg
